"AOD_Satellite","6001","6005","6007","6009","6011","6013","6015","6017","6019","6021","6023","6025","6027","6029","6031","6033","6035","6037","6039","6041","6043","6045","6047","6049","6051","6053","6055","6057","6059","6061","6063","6065","6067","6069","6071","6073","6075","6077","6079","6081","6083","6085","6087","6089","6093","6095","6097","6099","6103","6105","6107","6109","6111","6113","6115"
"ID","186","188","189","190","191","192","193","194","195","196","197","198","199","200","201","202","203","204","205","206","207","208","209","210","211","212","213","214","215","216","217","218","219","220","221","222","223","224","225","226","227","228","229","230","232","233","234","235","237","238","239","240","241","242","243"
"FIPS","6001","6005","6007","6009","6011","6013","6015","6017","6019","6021","6023","6025","6027","6029","6031","6033","6035","6037","6039","6041","6043","6045","6047","6049","6051","6053","6055","6057","6059","6061","6063","6065","6067","6069","6071","6073","6075","6077","6079","6081","6083","6085","6087","6089","6093","6095","6097","6099","6103","6105","6107","6109","6111","6113","6115"
"State","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA"
"County","Alameda County","Amador County","Butte County","Calaveras County","Colusa County","Contra Costa County","Del Norte County","El Dorado County","Fresno County","Glenn County","Humboldt County","Imperial County","Inyo County","Kern County","Kings County","Lake County","Lassen County","Los Angeles County","Madera County","Marin County","Mariposa County","Mendocino County","Merced County","Modoc County","Mono County","Monterey County","Napa County","Nevada County","Orange County","Placer County","Plumas County","Riverside County","Sacramento County","San Benito County","San Bernardino County","San Diego County","San Francisco County","San Joaquin County","San Luis Obispo County","San Mateo County","Santa Barbara County","Santa Clara County","Santa Cruz County","Shasta County","Siskiyou County","Solano County","Sonoma County","Stanislaus County","Tehama County","Trinity County","Tulare County","Tuolumne County","Ventura County","Yolo County","Yuba County"
"Full","Alameda County, CA","Amador County, CA","Butte County, CA","Calaveras County, CA","Colusa County, CA","Contra Costa County, CA","Del Norte County, CA","El Dorado County, CA","Fresno County, CA","Glenn County, CA","Humboldt County, CA","Imperial County, CA","Inyo County, CA","Kern County, CA","Kings County, CA","Lake County, CA","Lassen County, CA","Los Angeles County, CA","Madera County, CA","Marin County, CA","Mariposa County, CA","Mendocino County, CA","Merced County, CA","Modoc County, CA","Mono County, CA","Monterey County, CA","Napa County, CA","Nevada County, CA","Orange County, CA","Placer County, CA","Plumas County, CA","Riverside County, CA","Sacramento County, CA","San Benito County, CA","San Bernardino County, CA","San Diego County, CA","San Francisco County, CA","San Joaquin County, CA","San Luis Obispo County, CA","San Mateo County, CA","Santa Barbara County, CA","Santa Clara County, CA","Santa Cruz County, CA","Shasta County, CA","Siskiyou County, CA","Solano County, CA","Sonoma County, CA","Stanislaus County, CA","Tehama County, CA","Trinity County, CA","Tulare County, CA","Tuolumne County, CA","Ventura County, CA","Yolo County, CA","Yuba County, CA"
"01/01/2020","0.4701","0.5334","0.8064","0.235","0.7436","0.4057","0.9713","0.1838","0.9611","0.8895","0.7605","0.9978","0.5701","0.9659","0.9707","0.9178","0.5997","0.7682","0.9541","0.2701","0.5293","0.8818","0.9717","0.7516","0.1408","0.799","0.5051","0.2045","0.4191","0.1519","0.2653","0.7939","0.7338","0.5245","0.901","0.5596","0.3911","0.8892","0.3739","0.265","0.7111","0.3557","0.543","0.7022","0.7223","0.5911","0.4035","0.8675","0.9624","0.7411","0.9417","0.4688","0.4828","0.6768","0.942"
"01/02/2020","0.4701","0.5334","0.8064","0.235","0.7436","0.4057","0.9713","0.1838","0.9611","0.8895","0.7605","0.9978","0.5701","0.9659","0.9707","0.9178","0.5997","0.7682","0.9541","0.2701","0.5293","0.8818","0.9717","0.7516","0.1408","0.799","0.5051","0.2045","0.4191","0.1519","0.2653","0.7939","0.7338","0.5245","0.901","0.5596","0.3911","0.8892","0.3739","0.265","0.7111","0.3557","0.543","0.7022","0.7223","0.5911","0.4035","0.8675","0.9624","0.7411","0.9417","0.4688","0.4828","0.6768","0.942"
"01/03/2020","0.4701","0.5334","0.8064","0.235","0.7436","0.4057","0.9713","0.1838","0.9611","0.8895","0.7605","0.9978","0.5701","0.9659","0.9707","0.9178","0.5997","0.7682","0.9541","0.2701","0.5293","0.8818","0.9717","0.7516","0.1408","0.799","0.5051","0.2045","0.4191","0.1519","0.2653","0.7939","0.7338","0.5245","0.901","0.5596","0.3911","0.8892","0.3739","0.265","0.7111","0.3557","0.543","0.7022","0.7223","0.5911","0.4035","0.8675","0.9624","0.7411","0.9417","0.4688","0.4828","0.6768","0.942"
"01/04/2020","0.4701","0.5334","0.8064","0.235","0.7436","0.4057","0.9713","0.1838","0.9611","0.8895","0.7605","0.9978","0.5701","0.9659","0.9707","0.9178","0.5997","0.7682","0.9541","0.2701","0.5293","0.8818","0.9717","0.7516","0.1408","0.799","0.5051","0.2045","0.4191","0.1519","0.2653","0.7939","0.7338","0.5245","0.901","0.5596","0.3911","0.8892","0.3739","0.265","0.7111","0.3557","0.543","0.7022","0.7223","0.5911","0.4035","0.8675","0.9624","0.7411","0.9417","0.4688","0.4828","0.6768","0.942"
